run_id	target_id	version_id	skill_type	source_path	audit_score_0_100	format_score	description_score	structure_score	safety_score	compliance_status	severe_findings	findings_count	line_count	description_length
skill-system-stage-05-v1	system.imagegen	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/imagegen/SKILL.md	100	25	25	25	25	pass	0	0	105	277
skill-system-stage-05-v1	system.openai-docs	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/openai-docs/SKILL.md	100	25	25	25	25	pass	0	0	104	309
skill-system-stage-05-v1	system.plugin-creator	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/plugin-creator/SKILL.md	100	25	25	25	25	pass	0	0	114	290
skill-system-stage-05-v1	system.skill-creator	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/skill-creator/SKILL.md	100	25	25	25	25	pass	0	0	127	289
skill-system-stage-05-v1	system.skill-installer	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/skill-installer/SKILL.md	100	25	25	25	25	pass	0	0	103	295
skill-system-stage-05-v1	global.architecture-design	live	global_skill	/Users/daniildegtyarev/.codex/skills/architecture-design/SKILL.md	100	25	25	25	25	pass	0	0	95	268
skill-system-stage-05-v1	global.architecture-review	live	global_skill	/Users/daniildegtyarev/.codex/skills/architecture-review/SKILL.md	100	25	25	25	25	pass	0	0	95	221
skill-system-stage-05-v1	global.backend-performance-evidence	live	global_skill	/Users/daniildegtyarev/.codex/skills/backend-performance-evidence/SKILL.md	100	25	25	25	25	pass	0	0	156	363
skill-system-stage-05-v1	global.backend-quality-gates	live	global_skill	/Users/daniildegtyarev/.codex/skills/backend-quality-gates/SKILL.md	100	25	25	25	25	pass	0	0	113	327
skill-system-stage-05-v1	global.browser-qa-evidence	live	global_skill	/Users/daniildegtyarev/.codex/skills/browser-qa-evidence/SKILL.md	100	25	25	25	25	pass	0	0	86	276
skill-system-stage-05-v1	global.contract-impact-analysis	live	global_skill	/Users/daniildegtyarev/.codex/skills/contract-impact-analysis/SKILL.md	100	25	25	25	25	pass	0	0	118	318
skill-system-stage-05-v1	global.data-analytics-methodology	live	global_skill	/Users/daniildegtyarev/.codex/skills/data-analytics-methodology/SKILL.md	100	25	25	25	25	pass	0	0	300	955
skill-system-stage-05-v1	global.last30days	live	global_skill	/Users/daniildegtyarev/.codex/skills/last30days/SKILL.md	100	25	25	25	25	pass	0	0	118	351
skill-system-stage-05-v1	global.numba-jit-performance	live	global_skill	/Users/daniildegtyarev/.codex/skills/numba-jit-performance/SKILL.md	100	25	25	25	25	pass	0	0	120	283
skill-system-stage-05-v1	global.playwright	live	global_skill	/Users/daniildegtyarev/.codex/skills/playwright/SKILL.md	100	25	25	25	25	pass	0	0	102	301
skill-system-stage-05-v1	global.pre-ship-gate	live	global_skill	/Users/daniildegtyarev/.codex/skills/pre-ship-gate/SKILL.md	100	25	25	25	25	pass	0	0	85	233
skill-system-stage-05-v1	global.production-risk-review	live	global_skill	/Users/daniildegtyarev/.codex/skills/production-risk-review/SKILL.md	100	25	25	25	25	pass	0	0	93	239
skill-system-stage-05-v1	global.prompt-manager	live	global_skill	/Users/daniildegtyarev/.codex/skills/prompt-manager/SKILL.md	100	25	25	25	25	pass	0	0	102	289
skill-system-stage-05-v1	global.publish-ci-deploy	live	global_skill	/Users/daniildegtyarev/.codex/skills/publish-ci-deploy/SKILL.md	100	25	25	25	25	pass	0	0	166	302
skill-system-stage-05-v1	global.root-cause-debugging	live	global_skill	/Users/daniildegtyarev/.codex/skills/root-cause-debugging/SKILL.md	100	25	25	25	25	pass	0	0	85	255
skill-system-stage-05-v1	global.staged-plan-runner	live	global_skill	/Users/daniildegtyarev/.codex/skills/staged-plan-runner/SKILL.md	100	25	25	25	25	pass	0	0	99	260
skill-system-stage-05-v1	global.topological-data-analysis	live	global_skill	/Users/daniildegtyarev/.codex/skills/topological-data-analysis/SKILL.md	100	25	25	25	25	pass	0	0	166	518
